cog_id,root,clade_name,protein_id,ssp_id,gene_id,preferred_name
NOG95096,1,Homo,ENSP00000464956,9606,NA,C19orf83
NOG90593,1,Homo,ENSP00000484893,9606,101928527,PIGBOS1
NOG282969,1,Homo,ENSP00000485180,9606,NA,ENSG00000279816
NOG257494,1,Homo,ENSP00000485235,9606,NA,ENSG00000278899
NOG91281,1,Homo,ENSP00000324799,9606,NA,TMEM78
NOG113754,1,Homo,ENSP00000485088,9606,NA,ENSG00000279018
NOG90624,1,Homo,ENSP00000485146,9606,NA,ENSG00000279232
NOG283567,1,Homo,ENSP00000334696,9606,337974,KRTAP19-7
NOG254884,1,Homo,ENSP00000478882,9606,NA,ENSG00000277475
NOG135952,1,Homo,ENSP00000485142,9606,NA,ENSG00000280108
NOG135952,1,Homo,ENSP00000485358,9606,NA,ENSG00000278923
NOG231285,1,Homo,ENSP00000479444,9606,100130539,C10orf142
NOG233830,1,Homo,ENSP00000442747,9606,NA,ENSG00000256632
NOG91735,1,Homo,ENSP00000321242,9606,NA,PRNT
NOG135965,1,Homo,ENSP00000485090,9606,NA,ENSG00000280175
NOG73443,1,Homo,ENSP00000485316,9606,NA,LINC00493
NOG279635,1,Homo,ENSP00000385739,9606,90273,CEACAM21
NOG62627,1,Homo,ENSP00000263863,9606,10578,GNLY
NOG259190,1,Homo,ENSP00000363242,9606,NA,PGBD3
NOG31473,1,Homo,ENSP00000429216,9606,388610,TRNP1
NOG72801,1,Homo,ENSP00000457701,9606,730098,LOC730098
NOG13532,1,Homo,ENSP00000455469,9606,NA,GJE1
NOG271132,1,Homo,ENSP00000479064,9606,NA,GJA9-MYCBP
NOG282952,2,Pan,ENSP00000410024,9606,644844,PHGR1
NOG236705,2,Pan,ENSP00000485422,9606,NA,ENSG00000279735
NOG282835,2,Pan,ENSP00000381541,9606,440051,KRTAP5-11
NOG251634,2,Pan,ENSP00000485043,9606,NA,ENSG00000279508
NOG98718,2,Pan,ENSP00000460371,9606,10896,OCLM
NOG268004,2,Pan,ENSP00000279575,9606,NA,PRB4
NOG136725,2,Pan,ENSP00000385706,9606,5670,PSG2
NOG91176,2,Pan,ENSP00000386139,9606,NA,C5orf55
NOG90897,2,Pan,ENSP00000483047,9606,NA,C3orf27
NOG257514,2,Pan,ENSP00000485520,9606,NA,ENSG00000279515
NOG91068,2,Pan,ENSP00000443168,9606,246744,STH
NOG282913,2,Pan,ENSP00000386203,9606,388759,C1orf229
NOG135321,2,Pan,ENSP00000295226,9606,151278,CCDC140
NOG269142,2,Pan,ENSP00000382334,9606,5673,PSG5
NOG282968,2,Pan,ENSP00000333952,9606,254910,LCE5A
NOG91057,2,Pan,ENSP00000485673,9606,NA,ENSG00000279988
NOG247759,2,Pan,ENSP00000454664,9606,388276,C16orf97
NOG86053,2,Pan,ENSP00000457935,9606,100128731,OST4
NOG283020,2,Pan,ENSP00000357740,9606,6704,SPRR2E
NOG282906,2,Pan,ENSP00000328054,9606,339184,CCDC144NL
NOG90531,2,Pan,ENSP00000485583,9606,NA,ENSG00000279767
NOG283170,2,Pan,ENSP00000334187,9606,353137,LCE1F
NOG91339,2,Pan,ENSP00000453364,9606,NA,HCG27
NOG282930,2,Pan,ENSP00000417330,9606,440050,KRTAP5-7
NOG90732,2,Pan,ENSP00000465368,9606,NA,EDDM13
NOG98417,2,Pan,ENSP00000371824,9606,157983,C9orf66
NOG90994,2,Pan,ENSP00000457380,9606,752014,CEMP1
NOG246663,2,Pan,ENSP00000484751,9606,389676,C8orf87
NOG91389,2,Pan,ENSP00000485166,9606,NA,ENSG00000280080
NOG250328,2,Pan,ENSP00000351430,9606,2996,GYPE
NOG250328,2,Pan,ENSP00000427690,9606,2994,GYPB
NOG232387,2,Pan,ENSP00000436682,9606,387715,ARMS2
NOG68766,2,Pan,ENSP00000391594,9606,2086,ERV3-1
NOG94139,2,Pan,ENSP00000386219,9606,80111,C3orf36
NOG91819,2,Pan,ENSP00000482994,9606,NA,ENSG00000275765
NOG91295,2,Pan,ENSP00000372278,9606,NA,KRTAP20-4
NOG282707,2,Pan,ENSP00000330746,9606,337976,KRTAP20-2
NOG243453,2,Pan,ENSP00000485463,9606,NA,ENSG00000279813
NOG92427,2,Pan,ENSP00000385741,9606,164668,APOBEC3H
NOG91438,2,Pan,ENSP00000477989,9606,NA,ENSG00000275038
NOG284468,2,Pan,ENSP00000357746,9606,6703,SPRR2D
NOG90979,2,Pan,ENSP00000477724,9606,NA,C12orf79
NOG03397,2,Pan,ENSP00000420826,9606,5542,PRB1
NOG269521,2,Pan,ENSP00000323872,9606,NA,P2RY11
NOG253123,2,Pan,ENSP00000484945,9606,360205,PRAC2
NOG104304,2,Pan,ENSP00000421871,9606,140947,DCANP1
NOG72367,2,Pan,ENSP00000323978,9606,285464,CRIPAK
