cog_id,root,clade_name,protein_id,ssp_id,gene_id,preferred_name
NOG67427,1,Homo,AT1G50350,3702,NA,NA
NOG68408,1,Homo,AT5G02920,3702,NA,NA
NOG73233,1,Homo,AT2G25409,3702,NA,NA
NOG35189,1,Homo,AT4G14104,3702,NA,NA
NOG266773,1,Homo,AT3G20980,3702,NA,NA
NOG51112,1,Homo,AT2G37780,3702,NA,NA
NOG279796,1,Homo,AT3G10430,3702,NA,NA
NOG42180,1,Homo,AT2G27228,3702,NA,NA
NOG43763,1,Homo,AT5G35475,3702,NA,NA
NOG53269,1,Homo,AT5G56420,3702,NA,NA
NOG278032,1,Homo,ATMG01330,3702,NA,NA
NOG273550,1,Homo,AT5G55320,3702,NA,NA
NOG68332,1,Homo,AT1G17744,3702,NA,NA
NOG260797,1,Homo,AT1G56270,3702,NA,NA
NOG106216,1,Homo,AT2G29605,3702,NA,NA
NOG72527,1,Homo,ATMG01060,3702,NA,NA
NOG45237,1,Homo,AT2G07722,3702,NA,NA
NOG45237,1,Homo,ATMG00170,3702,NA,NA
NOG45237,1,Homo,ATMG00620,3702,NA,NA
NOG260628,1,Homo,AT2G18162,3702,NA,NA
NOG42552,1,Homo,AT3G06895,3702,NA,NA
NOG278036,1,Homo,AT5G38590,3702,NA,NA
NOG275874,1,Homo,AT2G07815,3702,NA,NA
NOG266776,1,Homo,AT4G36000,3702,NA,NA
NOG72700,1,Homo,AT2G12905,3702,NA,NA
NOG40104,1,Homo,ATCG00600,3702,NA,NA
NOG105269,1,Homo,AT4G32080,3702,NA,NA
NOG40178,1,Homo,AT2G40205,3702,NA,NA
NOG40178,1,Homo,AT3G11120,3702,NA,NA
NOG40178,1,Homo,AT3G56020,3702,NA,NA
NOG274558,1,Homo,AT2G29880,3702,NA,NA
NOG23949,1,Homo,AT5G64040,3702,NA,NA
NOG262549,1,Homo,AT1G26240,3702,NA,NA
NOG105276,1,Homo,AT3G27416,3702,NA,NA
NOG58869,1,Homo,AT1G75830,3702,NA,NA
NOG58869,1,Homo,AT2G26010,3702,NA,NA
NOG58869,1,Homo,AT2G26020,3702,NA,NA
NOG58869,1,Homo,AT5G44420,3702,NA,NA
NOG58869,1,Homo,AT5G44430,3702,NA,NA
NOG32467,1,Homo,AT1G34490,3702,NA,NA
NOG32467,1,Homo,AT1G34520,3702,NA,NA
NOG274078,1,Homo,AT2G19050,3702,NA,NA
NOG72723,1,Homo,AT3G47680,3702,NA,NA
NOG39552,1,Homo,ATCG00690,3702,NA,NA
NOG272590,1,Homo,ATCG00220,3702,NA,NA
NOG262519,1,Homo,AT1G70782,3702,NA,NA
NOG273063,1,Homo,ATCG00080,3702,NA,NA
KOG4774,1,Homo,AT3G15750,3702,NA,NA
NOG28656,1,Homo,ATMG00660,3702,NA,NA
NOG271708,1,Homo,ATMG01130,3702,NA,NA
NOG31432,1,Homo,ATCG00630,3702,NA,NA
NOG42387,1,Homo,ATCG00570,3702,NA,NA
NOG273057,1,Homo,AT1G58122,3702,NA,NA
NOG43744,1,Homo,AT4G19112,3702,NA,NA
NOG258698,1,Homo,AT2G07725,3702,NA,NA
NOG258698,1,Homo,ATMG00210,3702,NA,NA
NOG244008,1,Homo,ATCG00550,3702,NA,NA
NOG14610,1,Homo,AT2G07707,3702,NA,NA
NOG14610,1,Homo,ATMG00480,3702,NA,NA
NOG52439,1,Homo,ATCG00700,3702,NA,NA
NOG15936,1,Homo,AT5G14920,3702,NA,NA
NOG02160,1,Homo,AT2G13770,3702,NA,NA
NOG36168,1,Homo,AT3G46860,3702,NA,NA
COG3344,1,Homo,ATMG00520,3702,NA,NA
NOG33692,1,Homo,AT3G07230,3702,NA,NA
NOG279046,2,Pan,AT2G05350,3702,NA,NA
NOG08975,2,Pan,AT3G19184,3702,NA,NA
NOG105770,2,Pan,AT3G21352,3702,NA,NA
NOG130890,2,Pan,AT1G31250,3702,NA,NA
NOG277357,2,Pan,AT2G10975,3702,NA,NA
NOG62650,2,Pan,AT3G55210,3702,NA,NA
NOG262256,2,Pan,AT4G17565,3702,NA,NA
NOG66048,2,Pan,AT1G78760,3702,NA,NA
NOG105359,2,Pan,AT3G27835,3702,NA,NA
NOG262942,2,Pan,AT5G53790,3702,NA,NA
NOG111770,2,Pan,AT3G20362,3702,NA,NA
NOG105389,2,Pan,AT2G34270,3702,NA,NA
NOG270379,2,Pan,AT2G07674,3702,NA,NA
NOG270379,2,Pan,ATMG01010,3702,NA,NA
NOG111463,2,Pan,AT1G76220,3702,NA,NA
NOG260450,2,Pan,AT1G28375,3702,NA,NA
NOG105291,2,Pan,AT1G63206,3702,NA,NA
NOG105216,2,Pan,AT1G68875,3702,NA,NA
NOG105115,2,Pan,AT2G27389,3702,NA,NA
NOG41563,2,Pan,ATCG00510,3702,NA,NA
NOG260466,2,Pan,AT3G01960,3702,NA,NA
NOG260456,2,Pan,AT3G18250,3702,NA,NA
NOG260358,2,Pan,AT1G50930,3702,NA,NA
NOG55408,2,Pan,AT3G09120,3702,NA,NA
NOG36828,2,Pan,ATCG00070,3702,NA,NA
NOG40702,2,Pan,AT1G51920,3702,NA,NA
NOG111538,2,Pan,AT5G49450,3702,NA,NA
NOG26723,2,Pan,AT2G07671,3702,NA,NA
NOG26723,2,Pan,ATMG01080,3702,NA,NA
NOG36437,2,Pan,AT2G43660,3702,NA,NA
NOG36616,2,Pan,ATCG01020,3702,NA,NA
NOG234703,2,Pan,AT4G09030,3702,NA,NA
NOG71275,2,Pan,AT3G24068,3702,NA,NA
NOG53680,2,Pan,ATCG00560,3702,NA,NA
NOG234953,2,Pan,ATCG00300,3702,NA,NA
NOG39444,2,Pan,AT5G66815,3702,NA,NA
NOG08890,2,Pan,AT5G13340,3702,NA,NA
NOG09921,2,Pan,ATCG00040,3702,NA,NA
COG1145,2,Pan,ATCG01060,3702,NA,NA
NOG25405,2,Pan,ATCG00580,3702,NA,NA
NOG03814,2,Pan,AT2G07739,3702,NA,NA
NOG03814,2,Pan,ATCG01000,3702,NA,NA
NOG03814,2,Pan,ATCG01130,3702,NA,NA
NOG03814,2,Pan,ATMG00370,3702,NA,NA
NOG259383,2,Pan,ATCG00270,3702,NA,NA
COG0838,2,Pan,AT2G07751,3702,NA,NA
COG0838,2,Pan,ATCG00440,3702,NA,NA
COG0838,2,Pan,ATMG00990,3702,NA,NA
NOG63994,3,Gorilla,AT5G05640,3702,NA,NA
NOG278136,3,Gorilla,AT3G56890,3702,NA,NA
NOG278136,3,Gorilla,AT3G57580,3702,NA,NA
NOG261987,3,Gorilla,AT5G53600,3702,NA,NA
NOG261987,3,Gorilla,AT5G53610,3702,NA,NA
NOG262396,3,Gorilla,AT5G03390,3702,NA,NA
NOG262012,3,Gorilla,AT5G56380,3702,NA,NA
NOG279627,3,Gorilla,AT2G32885,3702,NA,NA
NOG279627,3,Gorilla,AT2G34825,3702,NA,NA
NOG106739,3,Gorilla,AT2G03560,3702,NA,NA
NOG105392,3,Gorilla,AT4G33585,3702,NA,NA
NOG260422,3,Gorilla,AT2G19820,3702,NA,NA
NOG41750,3,Gorilla,AT2G19530,3702,NA,NA
NOG72073,3,Gorilla,AT2G37435,3702,NA,NA
NOG105369,3,Gorilla,AT2G46360,3702,NA,NA
NOG31653,3,Gorilla,AT5G55850,3702,NA,NA
NOG111639,3,Gorilla,AT2G47340,3702,NA,NA
NOG54850,3,Gorilla,AT3G25750,3702,NA,NA
NOG275706,3,Gorilla,AT2G03020,3702,NA,NA
NOG275706,3,Gorilla,AT4G16540,3702,NA,NA
NOG275706,3,Gorilla,AT5G47590,3702,NA,NA
NOG43581,3,Gorilla,AT5G55370,3702,NA,NA
KOG2060,3,Gorilla,AT1G20130,3702,NA,NA
NOG41119,3,Gorilla,AT1G40087,3702,NA,NA
NOG41119,3,Gorilla,AT3G30200,3702,NA,NA
NOG23157,3,Gorilla,AT3G52440,3702,NA,NA
NOG276892,3,Gorilla,AT4G05360,3702,NA,NA
NOG275653,3,Gorilla,AT2G40910,3702,NA,NA
NOG275653,3,Gorilla,AT2G40920,3702,NA,NA
NOG275653,3,Gorilla,AT2G40925,3702,NA,NA
NOG64693,3,Gorilla,AT1G66100,3702,NA,NA
NOG64693,3,Gorilla,AT5G36910,3702,NA,NA
NOG00252,3,Gorilla,AT2G06500,3702,NA,NA
NOG00252,3,Gorilla,AT3G29638,3702,NA,NA
NOG00252,3,Gorilla,AT4G10200,3702,NA,NA
NOG03819,3,Gorilla,AT1G49920,3702,NA,NA
NOG03819,3,Gorilla,AT1G64255,3702,NA,NA
NOG03819,3,Gorilla,AT1G64260,3702,NA,NA
NOG234907,4,Ponginae,AT4G00890,3702,NA,NA
NOG233002,4,Ponginae,AT2G07713,3702,NA,NA
