cog_id,root,clade_name,protein_id,ssp_id,gene_id,preferred_name
NOG61699,1,Homo,ENSMUSP00000136060,10090,NA,Gm21886
NOG98781,1,Homo,ENSMUSP00000070496,10090,NA,Gm9970
NOG90474,1,Homo,ENSMUSP00000137808,10090,NA,ENSMUSG00000097706
NOG282850,1,Homo,ENSMUSP00000139502,10090,NA,Gm28372
NOG89343,1,Homo,ENSMUSP00000131783,10090,NA,Gm17641
NOG115035,1,Homo,ENSMUSP00000093306,10090,NA,Gm10322
NOG91768,1,Homo,ENSMUSP00000081532,10090,NA,Gm11232
NOG276384,1,Homo,ENSMUSP00000138069,10090,NA,ENSMUSG00000097845
NOG90464,1,Homo,ENSMUSP00000084100,10090,NA,Gm10197
NOG250339,1,Homo,ENSMUSP00000105257,10090,NA,Gm15557
NOG268018,1,Homo,ENSMUSP00000110852,10090,NA,Rhox3e
NOG268018,1,Homo,ENSMUSP00000094196,10090,NA,Rhox3h
NOG268018,1,Homo,ENSMUSP00000094198,10090,NA,Gm21085
NOG268018,1,Homo,ENSMUSP00000110842,10090,NA,Rhox3c
NOG268018,1,Homo,ENSMUSP00000110857,10090,NA,Rhox3a
NOG268018,1,Homo,ENSMUSP00000138833,10090,NA,Rhox3f
NOG268018,1,Homo,ENSMUSP00000138947,10090,NA,Rhox3g
NOG232522,1,Homo,ENSMUSP00000140510,10090,NA,Trim61
NOG89892,1,Homo,ENSMUSP00000054387,10090,NA,Krtap19-9a
NOG93432,1,Homo,ENSMUSP00000093859,10090,NA,Gm10337
NOG97428,1,Homo,ENSMUSP00000098370,10090,NA,Gm10392
NOG133738,1,Homo,ENSMUSP00000053487,10090,NA,BB014433
NOG93712,1,Homo,ENSMUSP00000127204,10090,NA,ENSMUSG00000050538
NOG244123,1,Homo,ENSMUSP00000096729,10090,NA,Gm826
NOG97932,1,Homo,ENSMUSP00000096804,10090,NA,Gm10742
NOG282710,1,Homo,ENSMUSP00000072854,10090,NA,Gm10061
NOG98079,1,Homo,ENSMUSP00000109232,10090,NA,ENSMUSG00000079476
NOG98079,1,Homo,ENSMUSP00000109240,10090,NA,Gm9112
NOG90781,1,Homo,ENSMUSP00000066687,10090,NA,Gm9954
NOG283115,1,Homo,ENSMUSP00000100464,10090,NA,Iglc2
NOG63964,1,Homo,ENSMUSP00000105669,10090,NA,Gm15440
NOG282839,1,Homo,ENSMUSP00000113155,10090,NA,Gm6792
NOG90215,1,Homo,ENSMUSP00000072089,10090,NA,mCG_115476
NOG98609,1,Homo,ENSMUSP00000134982,10090,NA,Gm20654
NOG269137,1,Homo,ENSMUSP00000046203,10090,NA,Tex13
NOG135343,1,Homo,ENSMUSP00000121081,10090,NA,Gm6569
NOG90147,1,Homo,ENSMUSP00000072352,10090,NA,Csn1s2b
