cog_id,root,clade_name,protein_id,ssp_id,gene_id,preferred_name
NOG77947,1,Homo,R07E5,6239,NA,NA
NOG280172,1,Homo,F18G5,6239,NA,NA
NOG283932,1,Homo,T23F11,6239,NA,NA
NOG95064,1,Homo,C07G1,6239,NA,NA
NOG93163,1,Homo,C34H4,6239,NA,NA
NOG78181,1,Homo,R04B5,6239,NA,NA
NOG97067,1,Homo,Y45F10B,6239,NA,NA
NOG96781,1,Homo,F34D10,6239,NA,NA
NOG95958,1,Homo,W03C9,6239,NA,NA
NOG96350,1,Homo,T10B11,6239,NA,NA
NOG230219,1,Homo,R07A4,6239,NA,NA
NOG284139,1,Homo,F59A2,6239,NA,NA
NOG96296,1,Homo,Y6B3B,6239,NA,NA
NOG283974,1,Homo,C06A1,6239,NA,NA
NOG283974,1,Homo,C06A1,6239,NA,NA
NOG283974,1,Homo,F29D10,6239,NA,NA
NOG283938,1,Homo,R13H7,6239,NA,NA
NOG284026,1,Homo,F55A4,6239,NA,NA
NOG95988,1,Homo,F35H8,6239,NA,NA
NOG108935,1,Homo,F11C1,6239,NA,NA
NOG97323,1,Homo,Y73F8A,6239,NA,NA
NOG273050,1,Homo,F35B12,6239,NA,NA
NOG284095,1,Homo,Y79H2A,6239,NA,NA
NOG96374,1,Homo,F48C1,6239,NA,NA
NOG284285,1,Homo,R07C3,6239,NA,NA
NOG97826,1,Homo,F25H8,6239,NA,NA
NOG231572,1,Homo,F54C1,6239,NA,NA
NOG231572,1,Homo,F59C6,6239,NA,NA
NOG78213,1,Homo,Y26D4A,6239,NA,NA
NOG78213,1,Homo,Y40C7B,6239,NA,NA
NOG97571,1,Homo,K09A9,6239,NA,NA
NOG85904,1,Homo,F27D4,6239,NA,NA
NOG237615,1,Homo,R05G9,6239,NA,NA
NOG284013,1,Homo,F54H12,6239,NA,NA
NOG78052,1,Homo,K04C2,6239,NA,NA
NOG233787,1,Homo,R12B2,6239,NA,NA
NOG284137,1,Homo,T02E1,6239,NA,NA
NOG95591,1,Homo,ZK1321,6239,NA,NA
NOG97803,1,Homo,F20A1,6239,NA,NA
NOG96508,1,Homo,K10B4,6239,NA,NA
NOG95409,1,Homo,Y67D8B,6239,NA,NA
NOG97307,1,Homo,C49G9,6239,NA,NA
NOG95835,1,Homo,F08A7,6239,NA,NA
NOG262950,1,Homo,T13F3,6239,NA,NA
NOG283888,1,Homo,Y8A9A,6239,NA,NA
NOG104603,1,Homo,F26F2,6239,NA,NA
NOG283944,1,Homo,C13A2,6239,NA,NA
NOG283944,1,Homo,C13A2,6239,NA,NA
NOG283944,1,Homo,C13A2,6239,NA,NA
NOG283944,1,Homo,C33G8,6239,NA,NA
NOG283944,1,Homo,E03H4,6239,NA,NA
NOG283944,1,Homo,F07G11,6239,NA,NA
NOG283944,1,Homo,F07G11,6239,NA,NA
NOG283944,1,Homo,ZK1025,6239,NA,NA
NOG97888,1,Homo,H25K10,6239,NA,NA
NOG97888,1,Homo,T05A6,6239,NA,NA
NOG97888,1,Homo,T11F1,6239,NA,NA
NOG97888,1,Homo,Y37A1B,6239,NA,NA
NOG95028,1,Homo,M02D8,6239,NA,NA
NOG247138,1,Homo,T21D12,6239,NA,NA
NOG236917,1,Homo,F54C1,6239,NA,NA
NOG237205,1,Homo,F55D12,6239,NA,NA
NOG92716,1,Homo,K02E11,6239,NA,NA
NOG284282,1,Homo,Y71F9B,6239,NA,NA
NOG95597,1,Homo,F47E1,6239,NA,NA
NOG94890,1,Homo,Y43C5A,6239,NA,NA
NOG72984,1,Homo,Y71F9B,6239,NA,NA
NOG94075,1,Homo,F19H8,6239,NA,NA
NOG97259,1,Homo,F57B10,6239,NA,NA
NOG254059,1,Homo,Y38A10A,6239,NA,NA
NOG283533,1,Homo,Y39C12A,6239,NA,NA
NOG94812,1,Homo,C16A11,6239,NA,NA
NOG238326,1,Homo,F56H1,6239,NA,NA
NOG77944,1,Homo,C34C6,6239,NA,NA
NOG92698,1,Homo,C06A8,6239,NA,NA
NOG232917,1,Homo,C08B6,6239,NA,NA
NOG232917,1,Homo,F44G3,6239,NA,NA
NOG284283,1,Homo,C17C3,6239,NA,NA
NOG284283,1,Homo,C17C3,6239,NA,NA
NOG77874,1,Homo,Y65B4BL,6239,NA,NA
NOG97783,1,Homo,F15B9,6239,NA,NA
NOG283698,1,Homo,K07H8,6239,NA,NA
NOG244301,1,Homo,T10B11,6239,NA,NA
NOG284239,1,Homo,F07E5,6239,NA,NA
NOG284239,1,Homo,F45C12,6239,NA,NA
NOG241067,1,Homo,C41G7,6239,NA,NA
NOG283902,1,Homo,C18A3,6239,NA,NA
NOG283739,1,Homo,C36B1,6239,NA,NA
NOG97302,1,Homo,B0213,6239,NA,NA
NOG96371,1,Homo,Y116A8C,6239,NA,NA
NOG232922,1,Homo,W05B10,6239,NA,NA
NOG80908,1,Homo,C06E7,6239,NA,NA
NOG97352,1,Homo,Y54G2A,6239,NA,NA
NOG86086,1,Homo,C01G12,6239,NA,NA
NOG233600,1,Homo,F08F3,6239,NA,NA
NOG243294,1,Homo,Y54E10BL,6239,NA,NA
NOG284248,1,Homo,C41H7,6239,NA,NA
NOG284248,1,Homo,F14D2,6239,NA,NA
NOG94759,1,Homo,T21E12,6239,NA,NA
NOG253686,1,Homo,C50F4,6239,NA,NA
NOG264165,1,Homo,C08B6,6239,NA,NA
NOG96290,1,Homo,C04A2,6239,NA,NA
NOG96055,1,Homo,F43E2,6239,NA,NA
NOG231409,1,Homo,C07B5,6239,NA,NA
NOG240124,1,Homo,F59A3,6239,NA,NA
NOG283716,1,Homo,F13E9,6239,NA,NA
NOG284286,1,Homo,C53D5,6239,NA,NA
NOG78157,1,Homo,C34B2,6239,NA,NA
NOG254891,1,Homo,T02E1,6239,NA,NA
NOG230775,1,Homo,T01C3,6239,NA,NA
NOG95970,1,Homo,F25H9,6239,NA,NA
NOG96184,1,Homo,R160,6239,NA,NA
NOG86887,1,Homo,E02C12,6239,NA,NA
NOG244900,1,Homo,F14H8,6239,NA,NA
NOG246455,1,Homo,W08E12,6239,NA,NA
NOG248256,1,Homo,F22B5,6239,NA,NA
NOG236632,1,Homo,B0416,6239,NA,NA
NOG248627,1,Homo,T22A3,6239,NA,NA
NOG254052,1,Homo,F09C6,6239,NA,NA
NOG254052,1,Homo,F40H7,6239,NA,NA
NOG283834,1,Homo,H14A12,6239,NA,NA
NOG283834,1,Homo,Y69F12A,6239,NA,NA
NOG254784,1,Homo,H32K21,6239,NA,NA
NOG268906,1,Homo,F47G9,6239,NA,NA
NOG72380,1,Homo,C17H12,6239,NA,NA
NOG112684,1,Homo,C25G6,6239,NA,NA
NOG94598,1,Homo,T10C6,6239,NA,NA
NOG262291,1,Homo,B0047,6239,NA,NA
NOG94871,1,Homo,C01B12,6239,NA,NA
NOG97255,1,Homo,F58G4,6239,NA,NA
NOG248264,1,Homo,Y38E10A,6239,NA,NA
NOG248264,1,Homo,Y38E10A,6239,NA,NA
NOG248264,1,Homo,Y38E10A,6239,NA,NA
NOG248264,1,Homo,Y38E10A,6239,NA,NA
NOG248264,1,Homo,Y38E10A,6239,NA,NA
NOG135356,1,Homo,C14C11,6239,NA,NA
NOG242075,1,Homo,C30F12,6239,NA,NA
NOG233574,1,Homo,C24D10,6239,NA,NA
NOG283903,1,Homo,T24D8,6239,NA,NA
NOG72630,1,Homo,Y75B12B,6239,NA,NA
NOG242065,1,Homo,Y39B6A,6239,NA,NA
NOG97729,1,Homo,C34E10,6239,NA,NA
NOG247142,1,Homo,T25G12,6239,NA,NA
NOG283830,1,Homo,ZK666,6239,NA,NA
